Order ID;Order Date;Customer ID;Product ID;Sales;Quantity;Discount;Profit;Market
CA-2012-124891;31/07/2012;RH-19495;TEC-AC-10003033;2309.65;7;0.00;762.18;US
IN-2013-77878;05/02/2013;JR-16210;FUR-CH-10003950;3709.40;9;0.10;-288.77;APAC
IN-2013-71249;17/10/2013;CR-12730;TEC-PH-10004664;5175.17;9;0.10;919.97;APAC
ES-2013-1579342;28/01/2013;KM-16375;TEC-PH-10004583;2892.51;5;0.10;-96.54;EU
SG-2013-4320;05/11/2013;RH-9495;TEC-SHA-10000501;2832.96;8;0.00;311.52;Africa
IN-2013-42360;28/06/2013;JM-15655;TEC-PH-10000030;2862.68;5;0.10;763.28;APAC
IN-2011-81826;07/11/2011;TS-21340;FUR-CH-10004050;1822.08;4;0.00;564.84;APAC
IN-2012-86369;14/04/2012;MB-18085;FUR-TA-10002958;5244.84;6;0.00;996.48;APAC
CA-2014-135909;14/10/2014;JW-15220;OFF-BI-10003527;5083.96;5;0.20;1906.49;US
CA-2012-116638;28/01/2012;JH-15985;FUR-TA-10000198;4297.64;13;0.40;-1862.31;US
CA-2011-102988;05/04/2011;GM-14695;OFF-SU-10002881;4164.05;5;0.00;83.28;US
ID-2012-28402;19/04/2012;AJ-10780;FUR-TA-10001889;4626.15;5;0.00;647.55;APAC
SA-2011-1830;27/12/2011;MM-7260;TEC-CIS-10001717;2616.96;4;0.00;1151.40;EMEA
MX-2012-130015;13/11/2012;VF-21715;FUR-CH-10002033;2221.80;7;0.00;622.02;LATAM
IN-2013-73951;06/06/2013;PF-19120;OFF-AP-10003500;3701.52;12;0.00;1036.08;APAC
ES-2014-5099955;31/07/2014;BP-11185;OFF-AP-10000423;1869.59;4;0.10;186.95;EU
CA-2014-143567;03/11/2014;TB-21175;TEC-AC-10004145;2249.91;9;0.00;517.48;US
ES-2014-1651774;08/09/2014;PJ-18835;OFF-AP-10004512;7958.58;14;0.00;3979.08;EU
IN-2014-11763;31/01/2014;JS-15685;TEC-CO-10000865;2565.59;9;0.10;28.40;APAC
TZ-2014-8190;05/12/2014;RH-9555;OFF-KIT-10004058;3409.74;6;0.00;818.28;Africa
PL-2012-7820;08/08/2012;AB-600;FUR-HON-10000224;1977.72;4;0.00;276.84;EMEA
CA-2011-154627;29/10/2011;SA-20830;TEC-PH-10001363;2735.95;6;0.20;341.99;US
IN-2011-44803;02/05/2011;JK-15325;FUR-CH-10000027;2754.00;6;0.00;358.02;APAC
ES-2013-2860574;27/02/2013;LB-16795;OFF-AP-10003590;5273.70;10;0.00;1898.40;EU
US-2014-133193;31/07/2014;NP-18325;TEC-PH-10004182;1713.84;4;0.00;445.52;LATAM
MX-2014-165309;05/09/2014;VD-21670;FUR-TA-10002827;2106.50;8;0.20;526.50;LATAM
IN-2011-10286;17/12/2011;PB-19210;FUR-TA-10004744;1715.16;2;0.00;720.36;APAC
ES-2011-4699764;14/03/2011;EB-14110;OFF-AP-10004512;3069.74;6;0.10;1364.24;EU
CA-2013-159016;11/03/2013;KF-16285;TEC-PH-10002885;4158.91;8;0.20;363.90;US
IN-2012-44810;25/02/2012;BP-11230;FUR-CH-10001415;1878.72;4;0.00;582.36;APAC
US-2011-128776;28/12/2011;RR-19525;TEC-PH-10002815;1696.64;5;0.20;-148.46;LATAM
ES-2012-5870268;17/07/2012;BS-11365;TEC-MA-10000161;2402.87;9;0.15;763.16;EU
CA-2012-139731;15/10/2012;JE-15745;FUR-CH-10002024;2453.43;5;0.30;-350.49;US
IN-2011-28087;03/11/2011;DP-13105;OFF-AP-10004246;2526.93;5;0.10;561.48;APAC
CA-2011-168494;12/12/2011;NP-18700;FUR-TA-10003473;3610.85;12;0.20;135.41;US
CG-2011-8610;14/09/2011;AH-30;TEC-APP-10000308;3817.26;6;0.00;1068.66;Africa
CA-2011-160766;14/09/2011;DM-13015;TEC-MA-10003979;2799.96;4;0.00;1371.98;US
US-2014-168116;05/11/2014;GT-14635;TEC-MA-10004125;7999.98;4;0.50;-3839.99;US
ES-2014-2637201;14/01/2014;PO-18865;TEC-CO-10000013;4141.02;13;0.00;1697.67;EU
IN-2011-61302;10/01/2011;DL-12865;TEC-PH-10004664;2875.10;5;0.10;511.10;APAC
ID-2013-63976;22/08/2013;JB-16000;TEC-PH-10000499;3200.60;6;0.17;-77.20;APAC
IN-2014-37320;11/11/2014;BF-11005;TEC-PH-10003856;4518.78;7;0.00;632.52;APAC
IN-2014-76016;26/09/2014;VG-21805;FUR-BO-10004852;5667.87;13;0.00;2097.03;APAC
ES-2012-5877219;13/12/2012;GT-14710;TEC-PH-10004583;5785.02;9;0.00;404.73;EU
IT-2011-3183678;23/09/2011;ZC-21910;OFF-AP-10000486;3018.62;7;0.20;377.24;EU
CA-2011-116904;23/09/2011;SC-20095;OFF-BI-10001120;9449.95;5;0.00;4630.48;US
IT-2013-3085011;08/03/2013;EB-13840;FUR-CH-10003365;2092.50;5;0.10;720.75;EU
IN-2014-50473;28/08/2014;AP-10915;FUR-CH-10000602;2761.20;6;0.00;110.34;APAC
IN-2014-35983;01/05/2014;SW-20275;TEC-MA-10002680;2174.13;7;0.00;500.01;APAC
MX-2014-126984;18/12/2014;JH-15820;FUR-CH-10000891;3473.14;11;0.00;868.12;LATAM
US-2012-163825;16/06/2012;LC-16885;OFF-BI-10003527;3050.38;3;0.20;1143.89;US
IR-2014-8540;18/09/2014;TG-11640;TEC-CAN-10003392;2108.64;8;0.00;527.04;EMEA
US-2014-135013;25/07/2014;HR-14830;TEC-CO-10001449;2399.96;5;0.20;839.99;US
IN-2011-10286;17/12/2011;PB-19210;FUR-BO-10001372;2197.50;5;0.00;153.75;APAC
MZ-2013-3690;18/12/2013;DG-3300;TEC-MOT-10002272;2582.16;4;0.00;593.88;Africa
IN-2012-66342;30/05/2012;SG-20470;TEC-CO-10004997;1526.52;4;0.00;732.72;APAC
CA-2012-111829;19/03/2012;FH-14365;TEC-CO-10001766;3149.93;7;0.00;1480.47;US
IN-2012-48240;25/05/2012;GP-14740;FUR-TA-10000226;1745.34;2;0.00;226.86;APAC
IN-2014-61792;05/08/2014;MW-18220;OFF-AP-10002244;4191.51;9;0.10;1164.27;APAC
CA-2014-129021;24/08/2014;PO-18850;TEC-PH-10001459;4367.90;13;0.20;327.59;US
IN-2014-75470;11/03/2014;CS-12460;FUR-BO-10001073;3063.27;7;0.00;581.91;APAC
CA-2012-114811;08/11/2012;KD-16495;TEC-MA-10000045;4643.80;4;0.00;2229.02;US
ES-2014-4673578;11/08/2014;MS-17980;TEC-PH-10002035;4473.00;7;0.00;313.11;EU
IT-2013-3376681;31/08/2013;KC-16675;TEC-PH-10002565;1502.01;9;0.00;225.18;EU
IN-2014-66615;18/01/2014;DB-13405;FUR-CH-10000027;5049.00;11;0.00;656.37;APAC
CA-2013-143805;02/12/2013;JD-15895;OFF-AP-10002945;2104.55;7;0.00;694.50;US
IT-2014-4540740;07/12/2014;DK-13090;FUR-BO-10004999;2188.05;5;0.00;1050.15;EU
IN-2014-11231;16/12/2014;CS-11845;FUR-TA-10001205;1920.36;4;0.00;652.92;APAC
MX-2014-154907;20/11/2014;EM-14200;TEC-PH-10004196;1704.00;4;0.00;119.28;LATAM
UP-2011-8610;09/11/2011;DW-3480;FUR-CHR-10001018;1858.68;4;0.00;130.08;EMEA
IN-2013-40050;07/06/2013;AS-10225;FUR-CH-10003232;3298.26;7;0.00;1055.25;APAC
MX-2011-110275;22/11/2011;ST-20530;OFF-AP-10001630;2443.48;13;0.00;121.94;LATAM
CG-2013-6110;29/03/2013;BW-1065;FUR-HAR-10002873;3808.80;8;0.00;1523.52;Africa
IN-2014-30110;26/08/2014;LA-16780;FUR-TA-10000687;3427.15;7;0.47;-452.81;APAC
ES-2012-2058076;20/09/2012;AB-10150;TEC-PH-10004505;3441.69;6;0.10;38.07;EU
IN-2014-51950;16/05/2014;JH-15820;TEC-PH-10002683;2863.35;5;0.10;858.90;APAC
CA-2012-145352;16/03/2012;CM-12385;OFF-BI-10003527;6354.95;5;0.00;3177.48;US
ES-2013-4670866;24/11/2013;BE-11410;TEC-CO-10002269;1487.40;10;0.00;728.70;EU
IN-2011-62506;09/11/2011;SZ-20035;TEC-CO-10002526;3200.04;9;0.00;1183.95;APAC
IN-2011-46413;28/10/2011;RM-19375;FUR-CH-10000602;2301.00;5;0.00;91.95;APAC
ES-2014-3785216;19/11/2014;HG-14845;FUR-CH-10002891;5729.35;14;0.10;63.55;EU
MO-2014-2000;28/10/2014;DP-3105;TEC-CAN-10001437;5301.24;14;0.00;2597.28;Africa
CA-2014-138289;17/01/2014;AR-10540;OFF-BI-10004995;5443.96;4;0.00;2504.22;US
CA-2014-118892;18/08/2014;TP-21415;FUR-CH-10002024;4416.17;9;0.30;-630.88;US
ES-2013-1434123;29/01/2013;JB-16000;TEC-PH-10004327;3219.90;5;0.00;965.85;EU
ID-2012-78207;18/09/2012;AM-10705;OFF-AP-10001621;2487.81;6;0.17;-269.79;APAC
MO-2013-8630;23/11/2013;AB-255;OFF-HOO-10001881;2266.44;4;0.00;113.28;Africa
IN-2012-64774;13/06/2012;RP-19270;TEC-CO-10001954;3068.36;9;0.10;1124.90;APAC
IN-2013-48765;28/10/2013;BK-11260;FUR-BO-10003282;3728.43;9;0.00;1192.86;APAC
IN-2013-69730;12/12/2013;JM-15250;TEC-CO-10003102;1581.48;6;0.00;0.00;APAC
IN-2012-48240;25/05/2012;GP-14740;TEC-PH-10004664;1916.73;3;0.00;498.33;APAC
US-2013-102239;06/05/2013;LW-16990;FUR-TA-10003392;1685.88;6;0.00;320.32;US
ES-2013-3467296;02/12/2013;NZ-18565;OFF-AP-10002552;2432.16;5;0.10;513.36;EU
CA-2014-6550;23/12/2014;SV-10815;TEC-MOT-10000554;3863.88;6;0.00;1159.02;Canada
ID-2013-25742;28/01/2013;SC-20695;FUR-CH-10001415;2465.82;7;0.25;197.19;APAC
IN-2012-86698;07/05/2012;NC-18625;FUR-TA-10003627;1847.52;2;0.00;738.96;APAC
ES-2013-2903666;27/11/2013;NF-18385;FUR-BO-10001133;2899.89;7;0.00;927.78;EU
IN-2012-30446;28/11/2012;NZ-18565;FUR-CH-10000027;2891.70;7;0.10;96.39;APAC
IT-2012-1779015;29/09/2012;PM-18940;TEC-MA-10003515;2016.85;9;0.15;-0.05;EU
ES-2013-3903130;03/09/2013;MZ-17335;OFF-AP-10002904;3155.54;7;0.10;34.94;EU
